Number of Entries,Time Taken to Sort,,,,,Average
,1,2,3,4,5
20,11123,9313,7943,7832,8013
50,36581,35880,34900,34553,34826
100,70513,70580,69855,69089,69697
200,88805,211500,88760,87903,89072
500,309209,312277,316316,325292,341329
1K,639130,629051,623811,608326,604334
2K,998755,995412,1003422,1039905,1009596
5K,1959718,2016704,1961127,1974688,1953104
10K,3918009,3952506,3937158,3949583,3930658
20K,16562808,16131225,16184436,16500768,16471140
50K,30928323,31985310,32183877,31910632,30263772
100K,92524077,95285174,97211756,97789570,97085321
200K,176521436,179881149,180003595,180128916,177539464
500K,420028555,425536125,426066351,427493358,427893015
1M,1249290796,1280008090,1296867281,1293156316,1299263889
2M,2271277897,2296317318,2299866979,2308844342,2298620974
3M,4205309818,4247276985,4280916413,4281008527,4297352292
