Number of Entries,Time Taken to Sort,,,,,Average
,1,2,3,4,5,
20,15485004,15867689,16132574,15524577,12800780,15162124.8
50,43831,42719,43460,42057,43568,43127
100,84857,84952,84418,84176,84279,84536.4
200,107260,107497,108245,107175,108684,107772.2
500,366852,360089,362691,360374,361136,362228.4
1K,773395,758470,762849,765763,764717,765038.8
2K,1321457,1312553,1550681,1318100,1313646,1363287.4
5K,2840148,2834498,2910907,3134427,2866518,2917299.6
10K,6355800,5953726,6000076,5928069,5683373,5984208.8
20K,29493562,27191557,26742828,27024393,27031082,27496684.4
50K,50830047,48360559,46388839,47165023,48072539,48163401.4
100K,147525472,149374888,149437689,148741702,148160085,148647967.2
200K,235491853,235110078,233600916,230162320,225523019,231977637.2
500K,445454687,450854214,455452479,446142813,439896372,447560113
1M,1286937759,1316187004,1335739651,1331828316,1336426140,1321423774
2M,2335111102,2356735244,2355053280,2373018257,2366179573,2357219491.2
3M,4332402099,4366590714,4384784886,4388643516,4407928399,4376069922.8
