Number of Entries,Time Taken to Sort,,,,,Average
,1,2,3,4,5,
20,9275,6978,6767,6723,6853,7319.2
50,35443,33180,32979,33539,32813,33590.8
100,102393,108988,98555,100706,97277,101583.8
200,95001,91076,91743,90609,93092,92304.2
500,1084568,1068807,1059898,1056410,1055717,1065080
1K,3857110,3828643,3844535,3886427,3818665,3847076
2K,4853471,4867218,4867332,4865373,4856764,4862031.6
5K,2159254,2165673,2156964,2189275,2140325,2162298.2
10K,4001950,3965933,3981937,3964792,3975039,3977930.2
20K,3225775036,3252833203,3244711713,3229709253,3233118896,3237229620.2
50K,2593796064,2639162083,2646937315,2654516468,2666134777,2640109341.4
100K,52045170910,54540349850,51664522161,52430839620,52336403719,52603457252
200K,68172867444,70398715901,72082143158,71622259942,72385307148,70932258718.6
500K,40083016012,40527423614,40622441298,41178585957,40794382631,40641169902.4
