Number of Entries,Time Taken to Sort,,,,,Average
,1,2,3,4,5,
20,8914,8225,9358,8041,7837,8475
50,34938,36237,34645,34500,34429,34949.8
100,70832,67847,67605,69266,68906,68891.2
200,263748,88169,90635,86831,89014,123679.4
500,312338,315942,603283,315524,312029,371823.2
1K,889068,651995,604791,607174,600663,670738.2
2K,1071259,994417,995032,1009190,1021262,1018232
5K,1955010,2340581,2311749,1958117,1944978,2102087
10K,4582793,4247374,3947118,4495377,4106009,4275734.2
20K,17887359,18588059,18226951,17776822,18070022,18109842.6
50K,34205406,35580401,35204940,32626849,30066693,33536857.8
100K,94535240,97213293,100820663,101741990,99718140,98805865.2
200K,182663023,184338929,187247601,187474937,183358720,185016642
500K,453936478,438007179,438801589,441431062,439611254,442357512.4
1M,1283631382,1310116022,1330048088,1329472870,1337127313,1318079135
2M,2341087646,2361348446,2361290821,2368271681,2361336337,2358666986.2
3M,4328622567,4392114788,4404403988,4392118816,4404654043,4384382840.4
