Number of Entries,Time Taken to Sort,,,,,Average
,1,2,3,4,5
20,24923,21254,20783,284522,22468
50,103955,100702,101179,101565,101043
100,292735,299785,296466,944430,286604
200,329001,291454,280176,280377,280412
500,3216866,3088000,12692796,3418648,2445388
1K,9980784,10167340,7844975,7802224,9022416
2K,12383703,12467851,11787005,11378207,10662187
5K,4533267,5668527,7107949,4355534,4582987
10K,8399807,11474442,12217802,10099288,8705487
20K,6456059016,6413841970,6762746924,6912705678,6464264210
50K,5596972801,5536708325,5581681275,5606419113,5563407609
100K,139569252916,143084705041,143595805580,144068651690,143952641528
