Number of Entries,Time Taken to Sort,,,,,Average
,1,2,3,4,5
20,12120,9487,8328,8201,8218
50,36878,36159,35134,35640,35999
100,71338,70299,70217,69350,69255
200,88962,95401,88099,87684,88840
500,306586,309289,312108,320107,325195
1K,669608,629062,617540,613229,617448
2K,992973,1026824,998779,1023982,1036191
5K,1965195,1970521,2015743,1981674,1961961
10K,3910864,3946134,3934383,3948565,3941194
20K,18165781,16142870,16258029,16501084,16393877
50K,32086490,32619600,32243676,32130108,31146568
100K,92502640,95581118,97432807,96659872,97169716
200K,177004177,180379335,179368488,180719268,177806159
500K,419623481,426725809,437050659,433487506,428767152
1M,1254104838,1279160011,1297136119,1298339870,1301047794
2M,2275161493,2298834375,2299941908,2309102916,2304301371
3M,4217240380,4256458124,4273644714,4277645360,4292478285
